project_name,file_name,nr_classes,nr_functions,ncls,slc,mlc,nr_of_lines,file_length,regexpsl,line_length,method_length,has_todo,boolean_e_c,cdac,cfoc,ccn,nppathc,javancss,nbugs,nbugs_confirmation
Apache CXF,JSONProvider.java,2,40,336,1,18,558,0,99,52,0,0,0,1,1,5,4,5,1.137037,1.137037
Apache CXF,JavaToWSTest.java,1,24,202,1,18,380,0,13,67,0,0,0,0,1,0,0,3,0.29090908,0.29090908
Apache CXF,JaxbTypeTest.java,2,9,100,2,18,191,0,1,9,0,0,0,0,1,0,0,3,0.33333334,0.33333334
Apache CXF,LogoutFilter.java,1,3,33,1,18,82,0,6,3,0,0,0,0,1,0,0,0,0.030303031,0.030303031
Apache CXF,MessageUtils.java,1,9,35,0,21,144,0,15,8,0,0,0,0,0,0,0,0,1.0,1.0
Apache CXF,PackageUtils.java,1,11,108,9,18,210,0,8,11,0,0,0,0,1,2,2,3,0.11111111,0.11111111
Apache CXF,PolicyEngine.java,1,24,33,5,18,95,0,32,14,0,0,0,0,1,0,0,0,0.09803922,0.09803922
Apache CXF,ProviderInfo.java,1,5,17,0,18,53,0,3,0,0,0,0,0,0,0,0,0,0.5,0.5
Apache CXF,ServiceUtils.java,1,4,32,0,18,80,0,2,1,0,0,0,0,0,0,0,0,0.03448276,0.03448276
Apache CXF,SoapTcpUtils.java,1,7,116,4,18,218,0,18,17,0,0,0,1,1,3,1,4,0.037037037,0.037037037
Apache CXF,SpringServer.java,1,2,12,1,18,40,0,0,1,0,0,0,0,0,0,0,0,0.11111111,0.11111111
Apache CXF,TestProvider.java,1,4,39,0,18,90,0,6,5,0,0,0,0,1,0,0,0,0.8095238,0.8095238
Apache CXF,TypesService.java,1,9,34,0,18,77,0,2,9,0,0,0,0,0,0,0,0,0.027777778,0.027777778
Apache CXF,UrlUtilities.java,1,3,25,0,18,71,0,4,1,0,0,0,0,0,0,0,0,1.0,1.0
Apache CXF,WSDLGetUtils.java,1,16,333,28,21,650,0,65,112,0,0,0,1,1,5,4,6,2.8333333,2.8333333
Apache CXF,AssertionInfo.java,1,7,20,0,18,55,0,4,0,0,0,0,0,0,0,0,0,0.014705882,0.014705882
Apache CXF,BenchmarkImpl.java,1,20,120,0,75,309,0,31,32,0,0,0,1,1,0,0,2,0.027777778,0.027777778
Apache CXF,BookInterface.java,1,2,9,0,18,38,0,2,0,0,0,0,0,0,0,0,0,0.0625,0.0625
Apache CXF,CXFConnection.java,1,2,4,0,29,50,0,4,2,0,0,0,0,0,0,0,0,0.1,0.1
Apache CXF,CodeFirstTest.java,10,28,278,9,18,472,0,79,51,0,0,0,1,1,0,0,5,0.51111114,0.51111114
Apache CXF,Configuration.java,1,0,2,0,18,26,0,0,1,0,0,0,0,0,0,0,0,0.057692308,0.057692308
Apache CXF,ElementReader.java,1,18,137,8,21,261,0,3,7,0,0,0,0,1,2,2,3,0.64285713,0.64285713
Apache CXF,ElementWriter.java,1,19,121,4,23,241,0,7,10,0,0,0,0,1,2,1,3,0.05263158,0.05263158
Apache CXF,GreetMeOneWay.java,1,2,12,0,0,65,0,8,3,0,0,0,0,0,0,0,0,0.28166822,0.28166822
Apache CXF,GreeterClient.java,1,2,25,2,18,62,0,2,2,0,0,0,0,1,0,0,0,0.29090908,0.29090908
Apache CXF,GreeterNoWsdl.java,1,4,13,0,18,79,0,15,16,0,0,0,0,0,0,0,0,0.32142857,0.32142857
Apache CXF,GreeterServer.java,1,4,26,1,4,52,0,9,0,0,0,0,0,0,0,0,0,0.29090908,0.29090908
Apache CXF,IDLToWSDLTest.java,1,27,236,13,18,438,0,44,39,0,0,0,1,1,0,0,2,1.2454545,1.2454545
Apache CXF,ImplGenerator.java,1,5,63,0,18,128,0,12,5,0,0,1,0,1,2,1,2,0.5,0.5
Apache CXF,JCABusFactory.java,2,22,167,7,18,302,0,30,23,0,0,0,1,1,0,0,2,0.055555556,0.055555556
Apache CXF,JavaFirstUtil.java,1,3,63,0,18,100,0,1,2,0,0,0,0,1,0,0,3,0.055555556,0.055555556
