@relation 'final_with_weka_header-weka.filters.unsupervised.attribute.Remove-R1-2,21-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-12,17'

@attribute ncls numeric
@attribute slc numeric
@attribute regexpsl numeric
@attribute method_length numeric
@attribute cdac numeric
@attribute cfoc numeric
@attribute ccn numeric
@attribute nppathc numeric
@attribute nbug1 numeric

@data
586,36,117,0,2,2,11,8,2.251634
135,2,35,0,0,1,1,1,0.1
10,0,0,0,0,0,0,0,1.009524
51,1,16,0,0,1,0,0,0.333333
8,2,1,0,0,0,0,0,0.166667
204,22,10,0,0,1,6,5,2.916667
159,1,67,0,1,1,1,1,0.2
152,1,54,0,1,1,1,2,0.111111
118,0,9,0,1,1,1,0,0.038462
140,0,7,0,1,1,1,0,0.055556
20,0,3,0,0,0,0,0,0.333333
158,1,34,0,1,1,2,1,0.217147
61,0,16,0,0,1,1,1,0.5
312,59,0,0,1,1,7,7,1
327,1,74,0,1,1,2,1,0.014706
16,0,5,0,0,0,0,0,0.166667
117,9,19,0,1,1,1,1,1.127075
12,0,2,0,0,0,0,0,0.095238
304,15,85,0,1,1,0,0,0.533333
129,20,0,0,0,1,2,0,1.5
219,37,60,0,1,1,7,6,0.037037
11,0,1,0,0,0,0,0,0.125
200,0,32,0,0,1,0,0,0.333333
47,1,13,0,0,1,1,1,0.2
65,4,7,0,0,1,0,0,0.25
19,4,3,0,0,0,0,0,0.032258
62,2,0,0,0,1,0,0,1
527,4,122,0,0,1,3,3,0.142857
114,9,10,0,0,1,3,1,1.357724
85,9,13,0,0,1,2,0,0.5
426,23,84,0,1,2,6,6,4.528871
55,0,13,0,0,1,0,0,0.5
95,2,15,0,0,1,2,2,0.818716
66,0,7,0,0,1,0,0,0.166667
75,1,12,0,0,1,2,1,0.5
491,6,124,0,1,1,2,3,0.111111
186,15,40,0,0,1,0,0,0.201149
152,24,11,0,0,1,2,2,1.610672
226,1,62,0,1,1,0,0,0.014706
12,0,0,0,0,0,0,0,0.5
225,15,99,0,1,1,1,1,0.045455
